#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Aug 07 14:52:53 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       sdram_top_map.ncd
#OUTPUT FILE:      sdram_top_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,sdram_bank<0>,IOB,IO_L83N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P2,sdram_we_n,IOB,IO_L83P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
P5,sdram_bank<1>,IOB,IO_L52N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P6,sdram_addr<9>,IOB,IO_L52P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P7,sdram_addr<12>,IOB,IO_L51N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P8,sdram_addr<10>,IOB,IO_L51P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P9,sdram_addr<8>,IOB,IO_L50N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P10,sdram_dq<6>,IOB,IO_L50P_3,BIDIR,LVCMOS25*,3,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P11,sdram_dq<5>,IOB,IO_L49N_3,BIDIR,LVCMOS25*,3,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P12,sdram_dq<4>,IOB,IO_L49P_3,BIDIR,LVCMOS25*,3,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,rfifo_rclk,IOB,IO_L44N_GCLK20_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P15,sdram_dq<3>,IOB,IO_L44P_GCLK21_3,BIDIR,LVCMOS25*,3,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P16,sdram_addr<11>,IOB,IO_L43N_GCLK22_IRDY2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P17,sdram_dq<1>,IOB,IO_L43P_GCLK23_3,BIDIR,LVCMOS25*,3,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,2.50,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,wfifo_wclk,IOB,IO_L42N_GCLK24_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P22,sdram_dq<2>,IOB,IO_L42P_GCLK25_TRDY2_3,BIDIR,LVCMOS25*,3,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P23,sclk,IOB,IO_L41N_GCLK26_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P24,sdram_dq<0>,IOB,IO_L41P_GCLK27_3,BIDIR,LVCMOS25*,3,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
